player_id,players_name,players_state,player_total_points,players_pre_rating
1,Gary Hua,ON,6,1794
2,Dakshesh Daruri,MI,6,1553
3,Aditya Bajaj,MI,6,1384
4,Patrick H Schilling,MI,5.5,1716
5,Hanshi Zuo,MI,5.5,1655
6,Hansen Song,OH,5,1686
7,Gary Dee Swathell,MI,5,1649
8,Ezekiel Houghton,MI,5,1641
9,Stefano Lee,ON,5,1411
10,Anvit Rao,MI,5,1365
11,Cameron William Mc Leman,MI,4.5,1712
12,Kenneth J Tack,MI,4.5,1663
13,Torrance Henry Jr,MI,4.5,1666
14,Bradley Shaw,MI,4.5,1610
15,Zachary James Houghton,MI,4.5,1220
16,Mike Nikitin,MI,4,1604
17,Ronald Grzegorczyk,MI,4,1629
18,David Sundeen,MI,4,1600
19,Dipankar Roy,MI,4,1564
20,Jason Zheng,MI,4,1595
21,Dinh Dang Bui,ON,4,1563
22,Eugene L Mcclure,MI,4,1555
23,Alan Bui,ON,4,1363
24,Michael R Aldrich,MI,4,1229
25,Loren Schwiebert,MI,3.5,1745
26,Max Zhu,ON,3.5,1579
27,Gaurav Gidwani,MI,3.5,1552
28,Sofia Adina Stanescu Bellu,MI,3.5,1507
29,Chiedozie Okorie,MI,3.5,1602
30,George Avery Jones,ON,3.5,1522
31,Rishi Shetty,MI,3.5,1494
32,Joshua Philip Mathews,ON,3.5,1441
33,Jade Ge,MI,3.5,1449
34,Michael Jeffery Thomas,MI,3.5,1399
35,Joshua David Lee,MI,3.5,1438
36,Siddharth Jha,MI,3.5,1355
37,Amiyatosh Pwnanandam,MI,3.5,980
38,Brian Liu,MI,3,1423
39,Joel R Hendon,MI,3,1436
40,Forest Zhang,MI,3,1348
41,Kyle William Murphy,MI,3,1403
42,Jared Ge,MI,3,1332
43,Robert Glen Vasey,MI,3,1283
44,Justin D Schilling,MI,3,1199
45,Derek Yan,MI,3,1242
46,Jacob Alexander Lavalley,MI,3,377
47,Eric Wright,MI,2.5,1362
48,Daniel Khain,MI,2.5,1382
49,Michael J Martin,MI,2.5,1291
50,Shivam Jha,MI,2.5,1056
51,Tejas Ayyagari,MI,2.5,1011
52,Ethan Guo,MI,2.5,935
53,Jose C Ybarra,MI,2,1393
54,Larry Hodge,MI,2,1270
55,Alex Kong,MI,2,1186
56,Marisa Ricci,MI,2,1153
57,Michael Lu,MI,2,1092
58,Viraj Mohile,MI,2,917
59,Sean M Mc Cormick,MI,2,853
60,Julia Shen,MI,1.5,967
61,Jezzel Farkas,ON,1.5,955
62,Ashwin Balaji,MI,1,1530
63,Thomas Joseph Hosmer,MI,1,1175
64,Ben Li,MI,1,1163
